"model_name","status","error_message","exitcode","elapsed_seconds","b_0_est","b_w_est","b_b_est","b_w_lower","b_w_upper","b_b_lower","b_b_upper","var_u0_est","var_e_est","final_psr_max_all","final_psr_max_core","final_psr_parameter_all","final_psr_parameter_core","final_psr_focal_bw","final_psr_focal_bb","min_ess_all","min_ess_core","min_ess_parameter_all","min_ess_parameter_core","ess_focal_bw","ess_focal_bb","sim_id","model_type"
"m6_sim_20","completed",NA,0,125.7354579,0.0175,0.445,0.5211,0.3988,0.4929,0.3226,0.7209,1.1565,1.0387,1.0536,1.0519,"aux.regressed on (standardized).y_mar.mean[id2]","aux.regressed on.y_mar.mean[id2]",1.012,1.03,36.4918,50.5202,"y_mar ~ x_mar.mean[id2] (standardized)","y_mar ~ x_mar.mean[id2]",252.601,50.5202,20,"6_blimp_rescue"
"m2_sim_21","completed",NA,0,50.34532499,-0.1534,0.4057,0.4947,0.3778,0.4349,0.3406,0.6448,0.8404,1.0164,1.0137,1.0137,"y.intercept","y.intercept",1,1.0131,112.3505,112.3505,"y ~ Intercept","y ~ Intercept",8947.1282,134.2041,21,"2_blimp_complete"
"m4_sim_21","completed",NA,0,29.36220789,-0.6669,0.5667,0.3349,0.5314,0.602,0.1771,0.4761,0.6692,0.7648,1.0112,1.0112,"y_mar.intercept","y_mar.intercept",1,1.0108,200.4093,200.4093,"y_mar ~ x_mar.mean[id2]","y_mar ~ x_mar.mean[id2]",9013.2583,200.4093,21,"4_blimp_lmc_noaux"
"m5_sim_21","completed",NA,0,81.66988015,-0.1678,0.4786,0.5638,0.4363,0.5233,0.4076,0.7163,0.8125,1.0228,1.0574,1.0574,"aux.intercept","aux.intercept",NA,NA,91.0868,91.0868,"aux ~ x_mean_biased","aux ~ x_mean_biased",549.206,162.3175,21,"5_blimp_omc_aux"
"m6_sim_21","completed",NA,0,125.7530971,-0.1636,0.4416,0.4969,0.4005,0.4848,0.3304,0.6538,0.8126,0.9965,1.0325,1.0325,"aux.regressed on.x_mar.mean[id2]","aux.regressed on.x_mar.mean[id2]",1.0029,1.0161,92.9854,97.0733,"aux ~ x_mar.mean[id2] (standardized)","aux ~ x_mar.mean[id2]",296.1311,158.7285,21,"6_blimp_rescue"
"m2_sim_22","completed",NA,0,50.11357808,0.1832,0.3892,0.5365,0.3605,0.4176,0.3458,0.755,1.0565,1.0159,1.0132,1.0132,"y.regressed on.x.mean[id2]","y.regressed on.x.mean[id2]",1,1.0132,40.9162,40.9162,"y ~ x.mean[id2]","y ~ x.mean[id2]",9589.7724,40.9162,22,"2_blimp_complete"
"m4_sim_22","completed",NA,0,30.31193709,-0.3452,0.5196,0.3319,0.4838,0.5556,0.1644,0.5016,0.8911,0.7865,1.0144,1.0144,"y_mar.intercept","y_mar.intercept",1.0002,1.0075,109.1584,109.1584,"y_mar ~ x_mar.mean[id2]","y_mar ~ x_mar.mean[id2]",8918.7229,109.1584,22,"4_blimp_lmc_noaux"
"m5_sim_22","completed",NA,0,102.1308069,0.2063,0.417,0.596,0.3723,0.4618,0.433,0.7613,1.0744,1.0712,1.0312,1.0312,"y_mar.intercept","y_mar.intercept",NA,NA,45.2652,45.2652,"aux ~ Intercept","aux ~ Intercept",596.3896,100.2868,22,"5_blimp_omc_aux"
"m6_sim_22","completed",NA,0,136.0663869,0.2298,0.3764,0.5618,0.3346,0.4203,0.3543,0.7466,1.0969,1.0369,1.0775,1.0775,"y_mar.regressed on.x_mar.mean[id2]","y_mar.regressed on.x_mar.mean[id2]",1.0104,1.0775,52.8201,83.3248,"aux ~ y_mar (standardized)","y_mar ~ x_mar.mean[id2]",357.0094,83.3248,22,"6_blimp_rescue"
"m2_sim_23","completed",NA,0,49.96525788,0.1728,0.3985,0.5832,0.3704,0.4256,0.3424,0.8339,1.3405,0.9942,1.0261,1.0261,"y.regressed on.x.mean[id2]","y.regressed on.x.mean[id2]",1.0001,1.0261,75.1321,75.1321,"y ~ x.mean[id2]","y ~ x.mean[id2]",9858.0649,75.1321,23,"2_blimp_complete"
"m4_sim_23","completed",NA,0,31.48473883,-0.3421,0.5323,0.4139,0.4975,0.5668,0.2278,0.6247,1.1208,0.7981,1.0242,1.0242,"y_mar.intercept","y_mar.intercept",0.9999,1.0202,103.8883,103.8883,"y_mar ~ x_mar.mean[id2]","y_mar ~ x_mar.mean[id2]",9276.9794,103.8883,23,"4_blimp_lmc_noaux"
"m5_sim_23","completed",NA,0,89.56493402,0.1511,0.4527,0.6267,0.4126,0.4935,0.4174,0.8157,1.3587,1.0413,1.0406,1.0406,"y_mar.regressed on.x_mean_biased","y_mar.regressed on.x_mean_biased",NA,NA,70.2841,70.2841,"aux ~ x_mean_biased","aux ~ x_mean_biased",660.4638,74.4338,23,"5_blimp_omc_aux"
"m6_sim_23","completed",NA,0,125.6886249,0.1735,0.4138,0.5422,0.3738,0.4555,0.3125,0.7892,1.38,1.0084,1.0411,1.0406,"y_mar.regressed on (standardized).x_mar.mean[id2]","aux.regressed on.x_mar.mean[id2]",1.0123,1.039,34.1309,34.1309,"y_mar ~ Intercept","y_mar ~ Intercept",222.9018,72.9053,23,"6_blimp_rescue"
"m2_sim_24","completed",NA,0,49.41000414,0.0921,0.4041,0.5092,0.3771,0.4319,0.2394,0.7732,1.1973,0.9532,1.0215,1.0215,"y.regressed on.x.mean[id2]","y.regressed on.x.mean[id2]",1.0001,1.0215,16.1869,16.1869,"y ~ x.mean[id2]","y ~ x.mean[id2]",9543.3547,16.1869,24,"2_blimp_complete"
"m4_sim_24","completed",NA,0,30.66185522,-0.422,0.5545,0.3166,0.5192,0.5909,0.0943,0.5489,0.9969,0.7375,1.0205,1.0205,"y_mar.intercept","y_mar.intercept",1,1.0141,143.7545,143.7545,"y_mar ~ Intercept","y_mar ~ Intercept",8858.9135,148.9915,24,"4_blimp_lmc_noaux"
"m5_sim_24","completed",NA,0,99.38560009,0.0791,0.4678,0.5532,0.4243,0.5123,0.3269,0.775,1.1781,0.9793,1.0332,1.0332,"aux.intercept","aux.intercept",NA,NA,21.6921,21.7948,"aux ~ x_mean_biased (standardized)","aux ~ x_mean_biased",602.5511,87.141,24,"5_blimp_omc_aux"
"m6_sim_24","completed",NA,0,129.0930669,0.099,0.4327,0.4796,0.3894,0.4752,0.1967,0.7161,1.195,0.9551,1.0613,1.0613,"aux.regressed on.x_mar.mean[id2]","aux.regressed on.x_mar.mean[id2]",1.0102,1.019,58.8397,58.8397,"aux ~ x_mar.mean[id2]","aux ~ x_mar.mean[id2]",273.7962,96.0942,24,"6_blimp_rescue"
"m2_sim_25","completed",NA,0,48.75724006,-0.1667,0.3887,0.6643,0.3605,0.4168,0.5057,0.8267,0.8044,1.0187,1.0208,1.0208,"y.intercept","y.intercept",1.0001,1.0206,149.6286,149.6286,"y ~ x.mean[id2]","y ~ x.mean[id2]",9299.8021,149.6286,25,"2_blimp_complete"
"m4_sim_25","completed",NA,0,31.49242997,-0.6824,0.5245,0.4618,0.4888,0.5598,0.3226,0.6035,0.6585,0.7879,1.0179,1.0179,"y_mar.regressed on.x_mar.mean[id2]","y_mar.regressed on.x_mar.mean[id2]",1,1.0179,201.6269,201.6269,"y_mar ~ Intercept","y_mar ~ Intercept",8675.9068,227.5658,25,"4_blimp_lmc_noaux"
"m5_sim_25","completed",NA,0,89.53102803,-0.2218,0.4327,0.6981,0.3909,0.4745,0.5576,0.8476,0.7639,1.0339,1.0369,1.0369,"aux.regressed on.x_mean_biased","aux.regressed on.x_mean_biased",NA,NA,97.3527,97.3527,"aux ~ x_mean_biased","aux ~ x_mean_biased",847.4026,142.8749,25,"5_blimp_omc_aux"
"m6_sim_25","completed",NA,0,126.4703209,-0.1462,0.3931,0.6608,0.3539,0.4329,0.4851,0.847,0.7891,0.9986,1.0401,1.0354,"y_mar.regressed on (standardized).x_mar.mean[id2]","y_mar.regressed on.x_mar.mean[id2]",1.0166,1.0354,63.8375,63.8375,"aux ~ Intercept","aux ~ Intercept",410.8915,124.2586,25,"6_blimp_rescue"
"m2_sim_26","completed",NA,0,49.46987414,0.1796,0.3939,0.5584,0.366,0.4212,0.3464,0.7561,1.0806,0.9986,1.0265,1.0265,"y.intercept","y.intercept",1.0001,1.0222,103.5,103.5,"y ~ x.mean[id2]","y ~ x.mean[id2]",9709.4238,103.5,26,"2_blimp_complete"
"m4_sim_26","completed",NA,0,30.89052892,-0.3317,0.5136,0.3912,0.4789,0.548,0.1934,0.5955,0.9202,0.7964,1.0121,1.0121,"y_mar.regressed on.x_mar.mean[id2]","y_mar.regressed on.x_mar.mean[id2]",1,1.0121,126.9327,126.9327,"y_mar ~ Intercept","y_mar ~ Intercept",9111.3797,147.4169,26,"4_blimp_lmc_noaux"
"m5_sim_26","completed",NA,0,99.84980488,0.1801,0.4168,0.6653,0.3764,0.4578,0.4956,0.8768,1.1248,1.0433,1.0356,1.0356,"y_mar.intercept","y_mar.intercept",NA,NA,59.4834,60.0968,"aux ~ x_mean_biased (standardized)","aux ~ x_mean_biased",659.0606,81.4937,26,"5_blimp_omc_aux"
"m6_sim_26","completed",NA,0,129.3083601,0.2234,0.3835,0.6217,0.3449,0.4237,0.4102,0.8599,1.1581,1.0101,1.1075,1.078,"aux.regressed on (standardized).x_mar.mean[id2]","aux.regressed on.x_mar.mean[id2]",1.0064,1.0318,55.0364,59.4974,"aux ~ x_mar.mean[id2] (standardized)","aux ~ x_mar.mean[id2]",376.1045,69.7091,26,"6_blimp_rescue"
"m2_sim_27","completed",NA,0,50.32052398,-0.0237,0.4058,0.6039,0.3773,0.4345,0.4511,0.7709,0.9274,1.0054,1.0283,1.0283,"y.regressed on.x.mean[id2]","y.regressed on.x.mean[id2]",1,1.0283,106.9485,106.9485,"y ~ x.mean[id2]","y ~ x.mean[id2]",9482.118,106.9485,27,"2_blimp_complete"
"m4_sim_27","completed",NA,0,29.25332379,-0.5731,0.541,0.4514,0.505,0.5777,0.2927,0.5996,0.7456,0.7748,1.0194,1.0194,"y_mar.regressed on.x_mar.mean[id2]","y_mar.regressed on.x_mar.mean[id2]",1.0001,1.0194,156.8125,156.8125,"y_mar ~ Intercept","y_mar ~ Intercept",9190.882,222.5784,27,"4_blimp_lmc_noaux"
"m5_sim_27","completed",NA,0,90.3945291,-0.0556,0.4461,0.6516,0.4021,0.4917,0.4928,0.8307,0.9223,1.0462,1.0369,1.0368,"aux.regressed on (standardized).x_mean_biased","aux.regressed on.x_mean_biased",NA,NA,53.7142,53.7142,"aux ~ Intercept","aux ~ Intercept",516.8278,88.8527,27,"5_blimp_omc_aux"
"m6_sim_27","completed",NA,0,124.606261,-0.027,0.4105,0.6303,0.3668,0.4539,0.4677,0.7989,0.9356,1.0147,1.0442,1.0294,"aux.regressed on (standardized).y_mar","y_mar.regressed on.x_mar.mean[id2]",1.0099,1.0294,37.5581,40.6367,"aux ~ y_mar.mean[id2] (standardized)","aux ~ y_mar.mean[id2]",342.8353,110.9504,27,"6_blimp_rescue"
"m2_sim_28","completed",NA,0,49.66874003,-0.0295,0.3791,0.5488,0.3505,0.4072,0.3856,0.6963,0.9624,1.0109,1.033,1.033,"y.intercept","y.intercept",1.0003,1.0227,131.1678,131.1678,"y ~ x.mean[id2]","y ~ x.mean[id2]",9876.0817,131.1678,28,"2_blimp_complete"
