"model_name","status","error_message","exitcode","elapsed_seconds","b_0_est","b_w_est","b_b_est","b_w_lower","b_w_upper","b_b_lower","b_b_upper","var_u0_est","var_e_est","final_psr_max_all","final_psr_max_core","final_psr_parameter_all","final_psr_parameter_core","final_psr_focal_bw","final_psr_focal_bb","min_ess_all","min_ess_core","min_ess_parameter_all","min_ess_parameter_core","ess_focal_bw","ess_focal_bb","sim_id","model_type"
"m4_sim_74","completed",NA,0,32.32409406,-0.5185,0.5198,0.4632,0.4838,0.5558,0.2931,0.6245,0.9153,0.8043,1.017,1.017,"y_mar.regressed on.x_mar.mean[id2]","y_mar.regressed on.x_mar.mean[id2]",1,1.017,155.148,155.148,"y_mar ~ Intercept","y_mar ~ Intercept",9025.5355,170.5288,74,"4_blimp_lmc_noaux"
"m5_sim_74","completed",NA,0,101.590692,0.0251,0.4296,0.7166,0.3875,0.4726,0.5458,0.9095,1.0658,1.0659,1.0394,1.0394,"aux.regressed on.x_mean_biased","aux.regressed on.x_mean_biased",NA,NA,63.3765,63.3765,"aux ~ x_mean_biased","aux ~ x_mean_biased",898.4885,85.2733,74,"5_blimp_omc_aux"
"m6_sim_74","completed",NA,0,126.2739818,0.1005,0.3929,0.7162,0.352,0.4343,0.5054,0.9361,1.1083,1.0369,1.0497,1.031,"y_mar.r2: coefficients","y_mar.regressed on.x_mar.mean[id2]",1.0118,1.031,44.4121,44.4121,"y_mar ~ Intercept","y_mar ~ Intercept",459.7695,74.7908,74,"6_blimp_rescue"
"m2_sim_75","completed",NA,0,51.30527616,0.0541,0.4074,0.5847,0.3796,0.436,0.4058,0.7521,1.0801,1.0071,1.0209,1.0209,"y.intercept","y.intercept",1.0001,1.0098,78.3152,78.3152,"y ~ Intercept","y ~ Intercept",9736.9345,83.1533,75,"2_blimp_complete"
"m4_sim_75","completed",NA,0,30.93921614,-0.4938,0.5405,0.4279,0.5047,0.5766,0.2575,0.5929,0.8983,0.7712,1.0318,1.0318,"y_mar.regressed on.x_mar.mean[id2]","y_mar.regressed on.x_mar.mean[id2]",1,1.0318,115.4274,115.4274,"y_mar ~ Intercept","y_mar ~ Intercept",8509.3453,142.9533,75,"4_blimp_lmc_noaux"
"m5_sim_75","completed",NA,0,88.25392985,0.0475,0.4447,0.6545,0.4023,0.4892,0.4883,0.8212,1.0492,1.0669,1.0349,1.0349,"y_mar.regressed on.x_mean_biased","y_mar.regressed on.x_mean_biased",NA,NA,57.7504,57.7504,"aux ~ Intercept","aux ~ Intercept",742.3078,72.2608,75,"5_blimp_omc_aux"
"m6_sim_75","completed",NA,0,126.4986269,0.078,0.4077,0.6158,0.3646,0.4527,0.4058,0.8015,1.0701,1.036,1.0324,1.0324,"y_mar.intercept","y_mar.intercept",1.0045,1.0114,39.5016,41.2252,"aux ~ y_mar.mean[id2] (standardized)","aux ~ y_mar.mean[id2]",346.2705,87.4332,75,"6_blimp_rescue"
"m2_sim_76","completed",NA,0,49.84408283,-0.0328,0.36,0.6422,0.332,0.3879,0.4512,0.8528,1.0546,0.9854,1.0316,1.0316,"y.regressed on.x.mean[id2]","y.regressed on.x.mean[id2]",1,1.0316,100.2609,100.2609,"y ~ Intercept","y ~ Intercept",9966.4824,113.6361,76,"2_blimp_complete"
"m4_sim_76","completed",NA,0,30.52542901,-0.5872,0.4854,0.4798,0.4501,0.5212,0.3169,0.6529,0.93,0.7314,1.0121,1.0121,"y_mar.intercept","y_mar.intercept",1,1.0057,126.454,126.454,"y_mar ~ x_mar.mean[id2]","y_mar ~ x_mar.mean[id2]",9205.1438,126.454,76,"4_blimp_lmc_noaux"
"m5_sim_76","completed",NA,0,87.63568091,-0.1091,0.3692,0.6692,0.3261,0.411,0.5014,0.8441,1.0527,0.9728,1.0154,1.0154,"aux.intercept","aux.intercept",NA,NA,25.0425,25.0425,"aux ~ Intercept","aux ~ Intercept",856.8261,72.9238,76,"5_blimp_omc_aux"
"m6_sim_76","completed",NA,0,127.937427,-0.0385,0.3376,0.6326,0.2968,0.3803,0.4182,0.8456,1.0852,0.9441,1.0262,1.0204,"aux.regressed on (standardized).y_mar","aux.regressed on.y_mar.mean[id2]",1.0053,1.0191,50.2329,50.2655,"y_mar ~ x_mar.mean[id2] (standardized)","y_mar ~ x_mar.mean[id2]",478.6108,50.2655,76,"6_blimp_rescue"
"m2_sim_77","completed",NA,0,49.91546893,-0.0761,0.4005,0.7677,0.3729,0.4283,0.5696,0.9741,0.9062,0.9849,1.0337,1.0337,"y.intercept","y.intercept",1,1.0073,79.7349,79.7349,"y ~ Intercept","y ~ Intercept",9415.7251,122.7407,77,"2_blimp_complete"
"m4_sim_77","completed",NA,0,29.02519798,-0.6368,0.513,0.5628,0.4776,0.5483,0.3767,0.7533,0.7625,0.7554,1.0102,1.0102,"y_mar.intercept","y_mar.intercept",1.0002,1.0066,147.2809,147.2809,"y_mar ~ Intercept","y_mar ~ Intercept",9158.7693,167.2479,77,"4_blimp_lmc_noaux"
"m5_sim_77","completed",NA,0,88.15700221,-0.1595,0.4156,0.7889,0.3725,0.4588,0.6324,0.9814,0.887,1.0063,1.0461,1.0461,"y_mar.intercept","y_mar.intercept",NA,NA,67.4045,67.4045,"aux ~ Intercept","aux ~ Intercept",655.7044,120.434,77,"5_blimp_omc_aux"
"m6_sim_77","completed",NA,0,130.690377,-0.0734,0.3765,0.8012,0.334,0.4177,0.5781,0.9798,0.9298,0.9713,1.0474,1.0458,"aux.regressed on (standardized).x_mar.mean[id2]","aux.regressed on.x_mar.mean[id2]",1.013,1.0455,41.0064,43.798,"aux ~ y_mar (standardized)","aux ~ x_mar.mean[id2]",257.6529,131.6008,77,"6_blimp_rescue"
"m2_sim_78","completed",NA,0,49.76398802,-0.1166,0.4288,0.5877,0.4004,0.4579,0.3491,0.7937,1.1765,0.9981,1.0307,1.0307,"y.intercept","y.intercept",0.9999,1.0153,83.7516,83.7516,"y ~ Intercept","y ~ Intercept",9404.0176,89.8797,78,"2_blimp_complete"
"m4_sim_78","completed",NA,0,29.24101281,-0.6773,0.5556,0.4618,0.518,0.5928,0.265,0.6664,0.9347,0.7867,1.0112,1.0112,"y_mar.intercept","y_mar.intercept",1,1.01,67.0866,67.0866,"y_mar ~ x_mar.mean[id2]","y_mar ~ x_mar.mean[id2]",9540.838,67.0866,78,"4_blimp_lmc_noaux"
"m5_sim_78","completed",NA,0,89.67515516,-0.1576,0.4681,0.7011,0.4217,0.5152,0.4903,0.894,1.1798,1.0627,1.0158,1.0158,"aux.intercept","aux.intercept",NA,NA,62.1003,62.1003,"y_mar ~ Intercept","y_mar ~ Intercept",494.8302,84.8276,78,"5_blimp_omc_aux"
"m6_sim_78","completed",NA,0,133.654417,-0.1096,0.43,0.6318,0.3836,0.4754,0.4149,0.8589,1.214,1.0362,1.0376,1.0376,"y_mar.regressed on.x_mar.mean[id2]","y_mar.regressed on.x_mar.mean[id2]",1.0161,1.0376,52.2587,52.2587,"y_mar ~ x_mar.mean[id2]","y_mar ~ x_mar.mean[id2]",199.4772,52.2587,78,"6_blimp_rescue"
"m2_sim_79","completed",NA,0,49.59402084,0.0407,0.3961,0.6908,0.3685,0.4238,0.4996,0.8701,0.968,1.0169,1.0222,1.0222,"y.intercept","y.intercept",1,1.0214,59.6814,59.6814,"y ~ Intercept","y ~ Intercept",9631.0007,131.7503,79,"2_blimp_complete"
"m4_sim_79","completed",NA,0,30.45189381,-0.5537,0.5383,0.4769,0.504,0.5739,0.3194,0.6292,0.7929,0.7632,1.0219,1.0215,"y_mar.regressed on (standardized).x_mar.mean[id2]","y_mar.regressed on.x_mar.mean[id2]",1.0001,1.0215,138.2094,138.2094,"y_mar ~ Intercept","y_mar ~ Intercept",8668.4308,213.4498,79,"4_blimp_lmc_noaux"
"m5_sim_79","completed",NA,0,82.53994298,-0.0542,0.435,0.7099,0.3922,0.478,0.5465,0.8638,0.9376,1.0313,1.0442,1.0442,"y_mar.regressed on.x_mean_biased","y_mar.regressed on.x_mean_biased",NA,NA,91.231,91.8356,"aux ~ x_mean_biased (standardized)","aux ~ x_mean_biased",593.1349,107.3721,79,"5_blimp_omc_aux"
"m6_sim_79","completed",NA,0,127.8729742,0.0091,0.3997,0.6754,0.3591,0.4411,0.4686,0.875,0.9689,1.0034,1.0361,1.0361,"y_mar.regressed on.x_mar.mean[id2]","y_mar.regressed on.x_mar.mean[id2]",1.0121,1.0361,55.4803,82.6984,"aux ~ y_mar (standardized)","aux ~ Intercept",357.5876,115.469,79,"6_blimp_rescue"
"m2_sim_80","completed",NA,0,49.54993701,0.0749,0.3956,0.612,0.3672,0.4235,0.4033,0.8384,0.9928,1.0041,1.0222,1.0222,"y.intercept","y.intercept",1,1.009,83.7213,83.7213,"y ~ x.mean[id2]","y ~ x.mean[id2]",9501.0979,83.7213,80,"2_blimp_complete"
"m4_sim_80","completed",NA,0,31.37874699,-0.4476,0.5364,0.371,0.4998,0.5724,0.2002,0.5431,0.7477,0.7782,1.0133,1.0133,"y_mar.intercept","y_mar.intercept",1,1.0119,129.9151,129.9151,"y_mar ~ x_mar.mean[id2]","y_mar ~ x_mar.mean[id2]",9114.1821,129.9151,80,"4_blimp_lmc_noaux"
"m5_sim_80","completed",NA,0,99.59380698,0.0204,0.4259,0.6313,0.382,0.4714,0.4361,0.816,0.9478,1.0419,1.0269,1.0269,"y_mar.regressed on.x_mean_biased","y_mar.regressed on.x_mean_biased",NA,NA,63.5973,63.5973,"aux ~ Intercept","aux ~ Intercept",698.4166,122.155,80,"5_blimp_omc_aux"
"m6_sim_80","completed",NA,0,127.0055511,0.0839,0.3942,0.5658,0.3517,0.4367,0.3533,0.8487,0.9958,1.0158,1.0392,1.0392,"aux.intercept","aux.intercept",1.0104,1.0092,30.9345,40.2567,"y_mar R2: Coefficients","y_mar ~ x_mar.mean[id2]",307.8177,40.2567,80,"6_blimp_rescue"
"m2_sim_81","completed",NA,0,50.53410101,0.3567,0.42,0.4861,0.3921,0.448,0.2851,0.6927,0.8793,0.9975,1.0346,1.0346,"y.intercept","y.intercept",1.0001,1.0241,118.3226,118.3226,"y ~ x.mean[id2]","y ~ x.mean[id2]",9501.8963,118.3226,81,"2_blimp_complete"
"m4_sim_81","completed",NA,0,27.51000285,-0.1706,0.583,0.3444,0.5462,0.6188,0.1497,0.5461,0.7591,0.7623,1.013,1.013,"y_mar.regressed on.x_mar.mean[id2]","y_mar.regressed on.x_mar.mean[id2]",1.0001,1.013,99.5973,99.5973,"y_mar ~ Intercept","y_mar ~ Intercept",9291.3092,109.4554,81,"4_blimp_lmc_noaux"
"m5_sim_81","completed",NA,0,100.3772962,0.3605,0.4941,0.6367,0.4456,0.5412,0.4252,0.8382,0.9522,1.0499,1.0343,1.0343,"y_mar.intercept","y_mar.intercept",NA,NA,36.962,38.4694,"aux ~ x_mean_biased (standardized)","aux ~ x_mean_biased",437.7708,39.8811,81,"5_blimp_omc_aux"
"m6_sim_81","completed",NA,0,134.7145741,0.3936,0.4529,0.5357,0.4078,0.5,0.2891,0.789,0.9631,1.0191,1.0657,1.0542,"aux.regressed on (standardized).y_mar","y_mar.regressed on.x_mar.mean[id2]",1.019,1.0542,44.3152,44.3152,"y_mar ~ x_mar.mean[id2]","y_mar ~ x_mar.mean[id2]",241.3458,44.3152,81,"6_blimp_rescue"
"m2_sim_82","completed",NA,0,49.74124217,0.1347,0.3917,0.7164,0.3639,0.4193,0.5553,0.8588,0.8045,0.9826,1.0213,1.0213,"y.regressed on.x.mean[id2]","y.regressed on.x.mean[id2]",1,1.0213,101.3964,101.3964,"y ~ Intercept","y ~ Intercept",9388.5709,126.2171,82,"2_blimp_complete"
"m4_sim_82","completed",NA,0,29.51330495,-0.4266,0.5315,0.5198,0.4943,0.5682,0.3905,0.659,0.604,0.7858,1.0151,1.0151,"y_mar.regressed on.x_mar.mean[id2]","y_mar.regressed on.x_mar.mean[id2]",1.0002,1.0151,180.6687,180.6687,"y_mar ~ Intercept","y_mar ~ Intercept",9057.9443,247.006,82,"4_blimp_lmc_noaux"
"m5_sim_82","completed",NA,0,81.76763797,0.0879,0.4314,0.7421,0.3858,0.4791,0.6059,0.8934,0.7657,1.0648,1.0155,1.0155,"aux.intercept","aux.intercept",NA,NA,92.5513,92.5513,"aux ~ x_mean_biased","aux ~ x_mean_biased",365.9929,171.0296,82,"5_blimp_omc_aux"
"m6_sim_82","completed",NA,0,138.0132279,0.1626,0.3872,0.6988,0.3447,0.4315,0.5102,0.855,0.8014,1.0264,1.0304,1.0255,"aux.regressed on (standardized).y_mar","aux.intercept",1.01,1.0141,29.52,35.3606,"aux ~ x_mar.mean[id2] (standardized)","aux ~ x_mar.mean[id2]",288.5607,93.8079,82,"6_blimp_rescue"
"m2_sim_83","completed",NA,0,50.12176204,0.137,0.3971,0.5942,0.369,0.4262,0.4182,0.7878,0.8999,1.012,1.0185,1.0181,"y.regressed on (standardized).x.mean[id2]","y.regressed on.x.mean[id2]",1,1.0181,60.3139,60.3139,"y ~ Intercept","y ~ Intercept",9468.7781,99.4602,83,"2_blimp_complete"
"m4_sim_83","completed",NA,0,28.3201251,-0.4808,0.5245,0.3684,0.4881,0.561,0.2115,0.5151,0.7469,0.7358,1.0132,1.0132,"y_mar.intercept","y_mar.intercept",1,1.0074,135.0649,135.0649,"y_mar ~ Intercept","y_mar ~ Intercept",9373.1491,136.2036,83,"4_blimp_lmc_noaux"
"m5_sim_83","completed",NA,0,100.183511,0.0701,0.4285,0.6187,0.3843,0.4734,0.4971,0.7651,0.9156,0.9955,1.0379,1.0379,"aux.intercept","aux.intercept",NA,NA,45.667,45.667,"aux ~ Intercept","aux ~ Intercept",510.1689,162.7124,83,"5_blimp_omc_aux"
"m6_sim_83","completed",NA,0,126.700763,0.0919,0.3783,0.5761,0.3385,0.4189,0.3437,0.7768,0.9367,0.9463,1.0471,1.0436,"aux.regressed on (standardized).x_mar.mean[id2]","aux.regressed on.x_mar.mean[id2]",1.0077,1.0211,29.3809,30.4581,"aux ~ y_mar (standardized)","y_mar ~ x_mar.mean[id2]",501.2696,30.4581,83,"6_blimp_rescue"
"m2_sim_84","completed",NA,0,49.25550199,0.2049,0.3908,0.7229,0.3627,0.4182,0.5352,0.924,1.2144,0.988,1.0217,1.0217,"y.regressed on.x.mean[id2]","y.regressed on.x.mean[id2]",0.9999,1.0217,81.8382,81.8382,"y ~ Intercept","y ~ Intercept",9253.2165,112.1368,84,"2_blimp_complete"
"m4_sim_84","completed",NA,0,29.78225994,-0.3853,0.5115,0.5119,0.4754,0.5472,0.3204,0.699,0.9911,0.7997,1.0276,1.0276,"y_mar.intercept","y_mar.intercept",1.0004,1.0151,148.8385,148.8385,"y_mar ~ Intercept","y_mar ~ Intercept",8479.6575,178.5841,84,"4_blimp_lmc_noaux"
"m5_sim_84","completed",NA,0,99.14309311,0.1602,0.4271,0.76,0.3844,0.47,0.565,0.9655,1.233,1.0322,1.0231,1.0231,"aux.intercept","aux.intercept",NA,NA,65.2264,65.2264,"y_mar ~ x_mean_biased","y_mar ~ x_mean_biased",599.5633,65.2264,84,"5_blimp_omc_aux"
"m6_sim_84","completed",NA,0,125.884222,0.2096,0.3931,0.7303,0.354,0.4348,0.4827,1.0114,1.2742,1.006,1.0337,1.0279,"aux.regressed on (standardized).y_mar.mean[id2]","aux.regressed on.y_mar.mean[id2]",1.0038,1.026,30.8211,44.6734,"aux ~ x_mar.mean[id2] (standardized)","aux ~ y_mar.mean[id2]",476.7032,70.2501,84,"6_blimp_rescue"
"m2_sim_85","completed",NA,0,50.37284088,0.2179,0.4035,0.5468,0.3761,0.4312,0.325,0.7527,1.1458,1.0118,1.0401,1.0401,"y.intercept","y.intercept",1,1.0219,65.0272,65.0272,"y ~ x.mean[id2]","y ~ x.mean[id2]",9242.6372,65.0272,85,"2_blimp_complete"
"m4_sim_85","completed",NA,0,28.57455707,-0.3448,0.5388,0.4108,0.5031,0.574,0.2252,0.6142,0.9845,0.7814,1.0129,1.0129,"y_mar.regressed on.x_mar.mean[id2]","y_mar.regressed on.x_mar.mean[id2]",1,1.0129,111.4723,111.4723,"y_mar ~ Intercept","y_mar ~ Intercept",9301.7125,158.6995,85,"4_blimp_lmc_noaux"
"m5_sim_85","completed",NA,0,103.8209651,0.23,0.4364,0.6557,0.3927,0.4818,0.4982,0.8169,1.1892,1.0583,1.0484,1.0465,"y_mar.regressed on (standardized).x_mean_biased","y_mar.regressed on.x_mean_biased",NA,NA,65.9152,65.9152,"aux ~ Intercept","aux ~ Intercept",596.5423,115.9908,85,"5_blimp_omc_aux"
"m6_sim_85","completed",NA,0,125.0711322,0.2736,0.4067,0.5851,0.3643,0.448,0.3926,0.7926,1.2341,1.0301,1.048,1.048,"aux.intercept","aux.intercept",1.0108,1.0304,28.3122,28.3122,"x_mar level-2 residual variance","x_mar level-2 residual variance",235.7606,60.9198,85,"6_blimp_rescue"
"m2_sim_86","completed",NA,0,49.39862895,-0.0326,0.39,0.429,0.3628,0.4183,0.2041,0.6757,1.0228,0.9968,1.0204,1.0204,"y.intercept","y.intercept",1,1.0181,93.505,93.505,"y ~ Intercept","y ~ Intercept",10172.9344,103.5068,86,"2_blimp_complete"
"m4_sim_86","completed",NA,0,29.49233794,-0.4867,0.5073,0.3084,0.4727,0.542,0.1133,0.5055,0.8662,0.7956,1.018,1.018,"y_mar.regressed on.x_mar.mean[id2]","y_mar.regressed on.x_mar.mean[id2]",1,1.018,158.5647,158.5647,"y_mar ~ Intercept","y_mar ~ Intercept",8840.2153,167.6994,86,"4_blimp_lmc_noaux"
"m5_sim_86","completed",NA,0,81.85088396,-0.0304,0.4061,0.5618,0.366,0.4469,0.3695,0.7576,1.0562,1.0248,1.0457,1.0457,"aux.intercept","aux.intercept",NA,NA,40.9789,41.2047,"y_mar R2: Coefficients","y_mar ~ x_mean_biased",820.4606,41.2047,86,"5_blimp_omc_aux"
"m6_sim_86","completed",NA,0,118.507621,-0.025,0.377,0.4375,0.3367,0.4165,0.212,0.6338,1.0492,0.9961,1.0523,1.0523,"y_mar.intercept","y_mar.intercept",1.003,1.045,70.1919,70.1919,"aux ~ x_mar.mean[id2]","aux ~ x_mar.mean[id2]",566.6529,83.0852,86,"6_blimp_rescue"
"m2_sim_87","completed",NA,0,47.02438092,-0.1419,0.3789,0.2088,0.3511,0.4062,-0.0195,0.4111,0.7426,1.003,1.0203,1.0203,"y.intercept","y.intercept",1.0001,1.0178,73.954,73.954,"y ~ x.mean[id2]","y ~ x.mean[id2]",8822.5496,73.954,87,"2_blimp_complete"
"m4_sim_87","completed",NA,0,28.62992907,-0.5686,0.4914,0.0605,0.4563,0.5271,-0.1085,0.2345,0.5812,0.8089,1.0028,1.0028,"y_mar.intercept","y_mar.intercept",1.0001,1.0017,182.2256,182.2256,"y_mar ~ Intercept","y_mar ~ Intercept",8879.544,264.5143,87,"4_blimp_lmc_noaux"
"m5_sim_87","completed",NA,0,78.81451321,-0.0497,0.3929,0.347,0.35,0.4354,0.1842,0.5162,0.7622,1.0902,1.0232,1.0232,"y_mar.intercept","y_mar.intercept",NA,NA,82.2943,82.2943,"y_mar ~ x_mean_biased","y_mar ~ x_mean_biased",753.7603,82.2943,87,"5_blimp_omc_aux"
"m6_sim_87","completed",NA,0,119.5897901,-0.1054,0.3514,0.1989,0.31,0.3932,0.0093,0.3913,0.7103,1.0472,1.033,1.0289,"aux.regressed on (standardized).x_mar","aux.intercept",1.0097,1.0201,47.3895,49.9522,"y_mar ~ x_mar.mean[id2] (standardized)","y_mar ~ x_mar.mean[id2]",361.759,49.9522,87,"6_blimp_rescue"
"m2_sim_88","completed",NA,0,46.8772769,-0.0288,0.3954,0.5448,0.3674,0.4235,0.3444,0.7561,1.0839,1.0247,1.0236,1.0236,"y.intercept","y.intercept",1.0001,1.0202,69.9543,69.9543,"y ~ x.mean[id2]","y ~ x.mean[id2]",9747.322,69.9543,88,"2_blimp_complete"
"m4_sim_88","completed",NA,0,26.43882394,-0.5678,0.5408,0.3536,0.5025,0.5797,0.1844,0.5018,0.8424,0.7856,1.0124,1.0124,"y_mar.intercept","y_mar.intercept",1.0001,1.0059,182.4165,182.4165,"y_mar ~ x_mar.mean[id2]","y_mar ~ x_mar.mean[id2]",9322.2401,182.4165,88,"4_blimp_lmc_noaux"
"m5_sim_88","completed",NA,0,93.77970195,-0.0511,0.4403,0.5699,0.3961,0.4881,0.3955,0.745,0.9993,1.054,1.0411,1.0411,"aux.intercept","aux.intercept",NA,NA,47.6324,47.6324,"aux ~ Intercept","aux ~ Intercept",478.9156,116.4781,88,"5_blimp_omc_aux"
"m6_sim_88","completed",NA,0,118.5018399,-0.0155,0.4106,0.5584,0.3651,0.4577,0.3477,0.7599,1.0344,1.0324,1.0434,1.0434,"aux.regressed on.y_mar.mean[id2]","aux.regressed on.y_mar.mean[id2]",1.0098,1.0137,28.6365,49.9589,"y_mar R2: Coefficients","y_mar ~ x_mar.mean[id2]",78.026,49.9589,88,"6_blimp_rescue"
"m2_sim_89","completed",NA,0,48.17816806,0.0206,0.3888,0.729,0.3592,0.4183,0.5598,0.9312,0.8525,1.0248,1.0252,1.0252,"y.intercept","y.intercept",1.0001,1.0058,114.4719,114.4719,"y ~ x.mean[id2]","y ~ x.mean[id2]",8510.5498,114.4719,89,"2_blimp_complete"
"m4_sim_89","completed",NA,0,30.55945802,-0.496,0.5265,0.6116,0.4912,0.5624,0.4625,0.7686,0.7017,0.8275,1.0063,1.0063,"y_mar.intercept","y_mar.intercept",1.0003,1.0051,156.8159,156.8159,"y_mar ~ Intercept","y_mar ~ Intercept",9388.8184,239.1699,89,"4_blimp_lmc_noaux"
"m5_sim_89","completed",NA,0,82.51988602,-0.0571,0.4423,0.8341,0.4003,0.4843,0.6765,1.0091,0.7941,1.0587,1.0351,1.0351,"y_mar.regressed on.x_mean_biased","y_mar.regressed on.x_mean_biased",NA,NA,65.7843,65.7843,"aux ~ x_mean_biased","aux ~ x_mean_biased",902.332,137.0879,89,"5_blimp_omc_aux"
"m6_sim_89","completed",NA,0,122.7536008,0.0374,0.4143,0.8281,0.3739,0.4563,0.6506,1.0029,0.8187,1.0362,1.0351,1.0259,"aux.regressed on (standardized).y_mar","aux.regressed on.y_mar.mean[id2]",1.0039,1.0161,34.9951,39.7685,"aux ~ x_mar.mean[id2] (standardized)","aux ~ Intercept",260.5686,143.8159,89,"6_blimp_rescue"
"m2_sim_90","completed",NA,0,46.53408408,-0.1584,0.3709,0.7019,0.3436,0.3986,0.4972,0.9007,1.0217,0.998,1.0347,1.0347,"y.regressed on.x.mean[id2]","y.regressed on.x.mean[id2]",1.0001,1.0347,77.5004,77.5004,"y ~ Intercept","y ~ Intercept",9614.7354,106.2309,90,"2_blimp_complete"
"m4_sim_90","completed",NA,0,26.37341714,-0.7565,0.5184,0.5404,0.4823,0.5551,0.3811,0.6962,0.8174,0.7761,1.0274,1.0274,"y_mar.intercept","y_mar.intercept",0.9999,1.0139,150.0746,150.0746,"y_mar ~ Intercept","y_mar ~ Intercept",9040.3505,190.8848,90,"4_blimp_lmc_noaux"
"m5_sim_90","completed",NA,0,94.31817198,-0.2286,0.4138,0.7708,0.3679,0.4602,0.6191,0.9477,1.0056,1.0793,1.0324,1.0324,"y_mar.intercept","y_mar.intercept",NA,NA,43.7787,43.7787,"y_mar ~ Intercept","y_mar ~ Intercept",431.6324,97.3524,90,"5_blimp_omc_aux"
"m6_sim_90","completed",NA,0,118.341944,-0.15,0.3714,0.748,0.3256,0.4166,0.5299,0.9182,1.056,1.0413,1.0251,1.0205,"y_mar.regressed on (standardized).x_mar.mean[id2]","y_mar.intercept",1.0022,1.0181,49.2835,49.2835,"aux ~ y_mar.mean[id2]","aux ~ y_mar.mean[id2]",255.7818,75.1673,90,"6_blimp_rescue"
"m2_sim_91","completed",NA,0,48.65169716,0.2251,0.411,0.6777,0.3833,0.4387,0.4792,0.8612,0.9358,1.0256,1.0257,1.0257,"y.intercept","y.intercept",1.0001,1.0221,88.2661,88.2661,"y ~ Intercept","y ~ Intercept",9810.6604,103.6274,91,"2_blimp_complete"
"m4_sim_91","completed",NA,0,30.18150115,-0.3184,0.543,0.5136,0.5096,0.5759,0.3515,0.6736,0.7635,0.7581,1.0154,1.0154,"y_mar.regressed on.x_mar.mean[id2]","y_mar.regressed on.x_mar.mean[id2]",1,1.0154,151.3605,151.3605,"y_mar ~ x_mar.mean[id2]","y_mar ~ x_mar.mean[id2]",9345.2448,151.3605,91,"4_blimp_lmc_noaux"
"m5_sim_91","completed",NA,0,75.46684504,0.1587,0.4442,0.6914,0.4053,0.4842,0.5397,0.8544,0.9071,1.0076,1.0264,1.0264,"y_mar.regressed on.x_mean_biased","y_mar.regressed on.x_mean_biased",NA,NA,99.8777,99.8777,"aux ~ Intercept","aux ~ Intercept",703.8224,102.9828,91,"5_blimp_omc_aux"
"m6_sim_91","completed",NA,0,117.848562,0.2182,0.4109,0.6507,0.3719,0.4492,0.4495,0.8637,0.9329,0.9755,1.0314,1.0314,"aux.intercept","aux.intercept",1.0091,1.0237,41.5417,48.1583,"y_mar ~ x_mar.mean[id2] (standardized)","y_mar ~ x_mar.mean[id2]",327.5394,48.1583,91,"6_blimp_rescue"
"m2_sim_92","completed",NA,0,48.14143419,-0.0942,0.4184,0.7244,0.3908,0.4464,0.5234,0.9128,0.7716,0.9913,1.0164,1.0164,"y.regressed on.x.mean[id2]","y.regressed on.x.mean[id2]",1.0002,1.0164,124.1849,124.1849,"y ~ Intercept","y ~ Intercept",9571.8266,150.9421,92,"2_blimp_complete"
"m4_sim_92","completed",NA,0,28.23764896,-0.6282,0.5544,0.526,0.5185,0.5896,0.3824,0.6955,0.5371,0.7693,1.0104,1.0104,"y_mar.intercept","y_mar.intercept",1,1.0093,186.9061,186.9061,"y_mar ~ Intercept","y_mar ~ Intercept",9499.6103,319.562,92,"4_blimp_lmc_noaux"
"m5_sim_92","completed",NA,0,86.17309618,-0.1806,0.4365,0.755,0.3934,0.4797,0.5933,0.9131,0.6978,1.0248,1.0198,1.0198,"aux.intercept","aux.intercept",NA,NA,110.8569,110.8569,"aux ~ Intercept","aux ~ Intercept",637.6386,120.6709,92,"5_blimp_omc_aux"
"m6_sim_92","completed",NA,0,118.8046811,-0.0912,0.4089,0.7238,0.3676,0.4517,0.5446,0.9265,0.7365,1.0002,1.0368,1.0368,"aux.intercept","aux.intercept",1.0029,1.015,59.7536,59.7536,"y_mar ~ Intercept","y_mar ~ Intercept",419.8105,117.2641,92,"6_blimp_rescue"
"m2_sim_93","completed",NA,0,48.21370387,-0.1466,0.3999,0.6792,0.3718,0.4297,0.4818,0.8633,0.9694,1.0268,1.0209,1.0209,"y.regressed on.x.mean[id2]","y.regressed on.x.mean[id2]",1,1.0209,92.9608,92.9608,"y ~ Intercept","y ~ Intercept",9412.3471,117.7864,93,"2_blimp_complete"
"m4_sim_93","completed",NA,0,28.93391013,-0.681,0.5475,0.4509,0.5101,0.5844,0.2748,0.6104,0.7668,0.8202,1.033,1.033,"y_mar.intercept","y_mar.intercept",0.9999,1.0039,131.0736,131.0736,"y_mar ~ Intercept","y_mar ~ Intercept",9441.4934,141.897,93,"4_blimp_lmc_noaux"
"m5_sim_93","completed",NA,0,82.40399718,-0.1968,0.4474,0.7145,0.4039,0.4916,0.5406,0.8858,0.948,1.0989,1.0574,1.0574,"aux.regressed on.x_mean_biased","aux.regressed on.x_mean_biased",NA,NA,49.186,49.186,"y_mar ~ x_mean_biased","y_mar ~ x_mean_biased",882.9807,49.186,93,"5_blimp_omc_aux"
