"sim_id","model_type","b_0_est","b_w_est","b_b_est","cov_b_w","cov_b_b","var_u0_est","var_e_est"
27,"1_lmer_complete",-0.023973849,0.406011737,0.619581657,1,1,0.904586693,1.004955151
27,"2_blimp_complete",-0.0237,0.4058,0.6039,1,1,0.9274,1.0054
27,"3_lmer_naive",-0.578293553,0.541193829,0.457446418,0,1,0.726936111,0.773593582
27,"4_blimp_lmc_noaux",-0.5731,0.541,0.4514,0,0,0.7456,0.7748
27,"5_blimp_omc_aux",-0.0556,0.4461,0.6516,0,1,0.9223,1.0462
27,"6_blimp_rescue",-0.027,0.4105,0.6303,1,1,0.9356,1.0147
28,"1_lmer_complete",-0.03750996,0.379188863,0.5375113,1,1,0.939596701,1.010603593
28,"2_blimp_complete",-0.0295,0.3791,0.5488,1,1,0.9624,1.0109
28,"3_lmer_naive",-0.59552961,0.510584742,0.347197885,0,0,0.757320207,0.779704087
28,"4_blimp_lmc_noaux",-0.5984,0.5107,0.3316,0,0,0.7777,0.7806
28,"5_blimp_omc_aux",-0.0382,0.4026,0.591,1,1,1.0289,1.0377
28,"6_blimp_rescue",-0.0366,0.37,0.537,1,1,1.0511,1.0076
29,"1_lmer_complete",-0.056260376,0.390751849,0.585025824,1,1,0.832401794,1.008275383
29,"2_blimp_complete",-0.0504,0.3906,0.5848,1,1,0.8524,1.0089
29,"3_lmer_naive",-0.540743442,0.52309045,0.47454143,0,1,0.738584122,0.786785781
29,"4_blimp_lmc_noaux",-0.5318,0.5234,0.4764,0,1,0.7624,0.7875
29,"5_blimp_omc_aux",-0.0632,0.4266,0.6784,1,1,0.8402,1.0416
29,"6_blimp_rescue",-0.005,0.3922,0.6657,1,1,0.8581,1.0119
30,"1_lmer_complete",0.040165778,0.391864409,0.636047205,1,1,1.021874183,0.988042048
30,"2_blimp_complete",0.0196,0.3921,0.6423,1,1,1.0471,0.9884
30,"3_lmer_naive",-0.495796028,0.52261677,0.472858627,0,1,0.872567862,0.768006753
30,"4_blimp_lmc_noaux",-0.5089,0.5223,0.481,0,1,0.8967,0.7687
30,"5_blimp_omc_aux",0.0194,0.4231,0.6917,1,1,1.0499,1.0248
30,"6_blimp_rescue",0.0579,0.3906,0.6533,1,1,1.0763,0.9974
31,"1_lmer_complete",0.067126645,0.393937111,0.529270498,1,1,0.944362097,0.980010706
31,"2_blimp_complete",0.0753,0.3942,0.5373,1,1,0.9693,0.9809
31,"3_lmer_naive",-0.486347882,0.532588602,0.292723036,0,0,0.804968743,0.765180371
31,"4_blimp_lmc_noaux",-0.4876,0.5325,0.2684,0,0,0.8234,0.7661
31,"5_blimp_omc_aux",0.0549,0.4434,0.5689,1,1,0.9597,1.0221
31,"6_blimp_rescue",0.069,0.4051,0.4827,1,1,0.9855,0.9995
32,"1_lmer_complete",0.0525979,0.424234403,0.65357541,1,1,0.984503963,0.984165686
32,"2_blimp_complete",0.0332,0.4239,0.667,1,1,1.0138,0.9847
32,"3_lmer_naive",-0.506045367,0.550423756,0.49251406,0,1,0.71256709,0.781524512
32,"4_blimp_lmc_noaux",-0.5114,0.5507,0.4867,0,1,0.7356,0.7828
32,"5_blimp_omc_aux",0.0309,0.4591,0.7132,0,1,1.0034,1.0378
32,"6_blimp_rescue",0.0613,0.4237,0.6789,1,1,1.0191,1.0083
33,"1_lmer_complete",-0.197247097,0.374794199,0.509234283,1,1,1.098406516,0.990012313
33,"2_blimp_complete",-0.2165,0.3746,0.5136,1,1,1.1292,0.9904
33,"3_lmer_naive",-0.65697951,0.485042795,0.379180436,0,0,0.891000775,0.81910526
33,"4_blimp_lmc_noaux",-0.6622,0.485,0.3823,0,0,0.919,0.8195
33,"5_blimp_omc_aux",-0.2265,0.3999,0.5915,1,1,1.1202,1.0457
33,"6_blimp_rescue",-0.1802,0.3646,0.5243,1,1,1.1212,1.0118
34,"1_lmer_complete",-0.037356898,0.402148772,0.481924823,1,1,1.032017141,0.975638844
34,"2_blimp_complete",-0.0272,0.4022,0.4846,1,1,1.0588,0.9758
34,"3_lmer_naive",-0.470394071,0.528677928,0.26291262,0,0,0.895303522,0.770783178
34,"4_blimp_lmc_noaux",-0.4774,0.5286,0.2518,0,0,0.9244,0.7717
34,"5_blimp_omc_aux",-0.0364,0.4344,0.4891,1,1,1.0486,1.009
34,"6_blimp_rescue",-0.0255,0.403,0.4695,1,1,1.0567,0.9852
35,"1_lmer_complete",-0.059880451,0.378914915,0.700181463,1,1,1.059341349,1.017127476
35,"2_blimp_complete",-0.0675,0.3789,0.7432,1,1,1.0865,1.0176
35,"3_lmer_naive",-0.622101956,0.505510575,0.503966723,0,1,0.865204531,0.801996439
35,"4_blimp_lmc_noaux",-0.6157,0.5062,0.493,0,1,0.894,0.8026
35,"5_blimp_omc_aux",-0.0897,0.4046,0.7893,1,1,1.1467,1.0605
35,"6_blimp_rescue",-0.0132,0.3727,0.7812,1,1,1.2251,1.032
36,"1_lmer_complete",0.044587767,0.397545188,0.808871982,1,0,0.950378764,1.006277514
36,"2_blimp_complete",0.0327,0.3975,0.8234,1,1,0.9754,1.007
36,"3_lmer_naive",-0.576514468,0.521746108,0.542622243,0,1,0.683077471,0.770672096
36,"4_blimp_lmc_noaux",-0.581,0.5216,0.5472,0,1,0.7007,0.7714
36,"5_blimp_omc_aux",-0.0447,0.424,0.8377,1,0,0.9064,1.0448
36,"6_blimp_rescue",0.0612,0.3836,0.8121,1,1,0.9542,1.0086
37,"1_lmer_complete",-0.144911047,0.388968744,0.554920489,1,1,1.127723865,1.011499554
37,"2_blimp_complete",-0.1501,0.3889,0.5571,1,1,1.1606,1.0126
37,"3_lmer_naive",-0.65969004,0.533098091,0.392402483,0,0,0.960425404,0.741711155
37,"4_blimp_lmc_noaux",-0.6766,0.533,0.4,0,1,0.9859,0.7427
37,"5_blimp_omc_aux",-0.1888,0.425,0.592,1,1,1.1949,1.017
37,"6_blimp_rescue",-0.1659,0.3909,0.5453,1,1,1.2127,0.9895
38,"1_lmer_complete",0.155038407,0.409643628,0.572272723,1,1,0.813085338,0.978992696
38,"2_blimp_complete",0.1451,0.4096,0.5798,1,1,0.8366,0.9797
38,"3_lmer_naive",-0.31680415,0.533302607,0.437154698,0,1,0.702142918,0.754999518
38,"4_blimp_lmc_noaux",-0.3147,0.5331,0.4215,0,0,0.7215,0.7557
38,"5_blimp_omc_aux",0.1184,0.4315,0.6047,1,1,0.7997,0.999
38,"6_blimp_rescue",0.162,0.4002,0.5488,1,1,0.8073,0.9722
39,"1_lmer_complete",0.212176681,0.413443885,0.699896551,1,1,1.310216484,1.004481694
39,"2_blimp_complete",0.2307,0.4135,0.7188,1,1,1.3442,1.005
39,"3_lmer_naive",-0.395969749,0.559709474,0.513773757,0,1,0.996051423,0.799902166
39,"4_blimp_lmc_noaux",-0.4104,0.5596,0.5075,0,1,1.0299,0.8009
39,"5_blimp_omc_aux",0.1382,0.4673,0.7948,0,1,1.3483,1.0813
39,"6_blimp_rescue",0.2637,0.4235,0.7592,1,1,1.4574,1.0512
40,"1_lmer_complete",-0.079376509,0.40273857,0.765597809,1,1,0.715392551,1.0261082
40,"2_blimp_complete",-0.0645,0.4026,0.7763,1,1,0.7317,1.0267
40,"3_lmer_naive",-0.687783887,0.556685884,0.563577118,0,1,0.537465544,0.754820178
40,"4_blimp_lmc_noaux",-0.6893,0.5572,0.5534,0,1,0.5519,0.7556
40,"5_blimp_omc_aux",-0.1852,0.4581,0.8063,0,0,0.6822,1.0513
40,"6_blimp_rescue",-0.1115,0.415,0.7658,1,1,0.7151,1.0155
41,"1_lmer_complete",0.085608923,0.390078078,0.860083919,1,0,1.071425723,0.986256796
41,"2_blimp_complete",0.1095,0.3899,0.8847,1,0,1.0996,0.9867
41,"3_lmer_naive",-0.532860889,0.500339929,0.625319168,0,1,0.782734591,0.767438888
41,"4_blimp_lmc_noaux",-0.5215,0.5007,0.6328,0,1,0.8063,0.7684
41,"5_blimp_omc_aux",-0.0127,0.4115,0.849,1,0,0.9996,0.9932
41,"6_blimp_rescue",0.062,0.374,0.8448,1,0,1.0801,0.9604
42,"1_lmer_complete",-0.113663683,0.413145589,0.685707789,1,1,0.890122666,0.980651137
42,"2_blimp_complete",-0.1226,0.4132,0.6993,1,1,0.9144,0.9813
42,"3_lmer_naive",-0.647713856,0.534651851,0.481199801,0,1,0.76622535,0.746307639
42,"4_blimp_lmc_noaux",-0.6442,0.5342,0.4787,0,1,0.7926,0.7471
42,"5_blimp_omc_aux",-0.1729,0.4508,0.7155,0,1,0.9056,0.997
42,"6_blimp_rescue",-0.0875,0.4017,0.6736,1,1,0.9467,0.9555
43,"1_lmer_complete",0.054900227,0.406185864,0.730189016,1,1,1.228964993,1.010609442
43,"2_blimp_complete",0.0562,0.4067,0.7107,1,1,1.264,1.0114
43,"3_lmer_naive",-0.578350652,0.516340997,0.516643283,0,1,0.779820416,0.804218482
43,"4_blimp_lmc_noaux",-0.5739,0.5169,0.4994,0,1,0.8037,0.8045
43,"5_blimp_omc_aux",-0.0204,0.4387,0.7902,1,0,1.133,1.0473
43,"6_blimp_rescue",0.0224,0.3978,0.6977,1,1,1.1747,1.0134
44,"1_lmer_complete",0.082709436,0.425482531,0.693863787,1,1,1.131226478,1.011126365
44,"2_blimp_complete",0.0932,0.4254,0.704,1,1,1.1632,1.0117
44,"3_lmer_naive",-0.481063773,0.564409409,0.470818416,0,1,0.903163245,0.751102034
44,"4_blimp_lmc_noaux",-0.4666,0.5647,0.446,0,1,0.9289,0.7515
44,"5_blimp_omc_aux",0.0037,0.4644,0.769,0,1,1.2021,1.0262
44,"6_blimp_rescue",0.0828,0.4247,0.6622,1,1,1.2705,0.9983
45,"1_lmer_complete",0.127655173,0.417951002,0.636398629,1,1,1.034282377,1.018449783
45,"2_blimp_complete",0.1349,0.4183,0.6271,1,1,1.0636,1.0186
45,"3_lmer_naive",-0.466682462,0.534418865,0.446866512,0,1,0.827071458,0.75156065
45,"4_blimp_lmc_noaux",-0.478,0.5349,0.4413,0,1,0.8481,0.7528
45,"5_blimp_omc_aux",0.0836,0.4346,0.6924,1,1,1.0267,1.0479
45,"6_blimp_rescue",0.1304,0.3789,0.6172,1,1,1.0532,0.9974
46,"1_lmer_complete",-0.136628219,0.41279453,0.579508267,1,1,0.774268717,1.025583992
46,"2_blimp_complete",-0.1454,0.4125,0.5897,1,1,0.7971,1.0261
46,"3_lmer_naive",-0.612961851,0.545309015,0.402559911,0,0,0.713029491,0.799112682
46,"4_blimp_lmc_noaux",-0.6054,0.545,0.3905,0,0,0.7345,0.8
46,"5_blimp_omc_aux",-0.1547,0.4491,0.6244,0,1,0.7776,1.068
46,"6_blimp_rescue",-0.1087,0.4122,0.5901,1,1,0.7862,1.032
47,"1_lmer_complete",-0.195453272,0.422417783,0.713802447,1,1,1.038478967,1.009398287
47,"2_blimp_complete",-0.1957,0.4224,0.7106,1,1,1.0702,1.0101
47,"3_lmer_naive",-0.724514536,0.557028197,0.557993269,0,1,0.830369458,0.791192782
47,"4_blimp_lmc_noaux",-0.7257,0.557,0.5566,0,1,0.8521,0.7915
47,"5_blimp_omc_aux",-0.2377,0.455,0.7658,0,1,1.0586,1.0704
47,"6_blimp_rescue",-0.1596,0.4178,0.6794,1,1,1.0864,1.0365
48,"1_lmer_complete",-0.094946562,0.406179662,0.58222468,1,1,0.731404104,0.979950364
48,"2_blimp_complete",-0.0957,0.4061,0.5955,1,1,0.75,0.9801
