sim_id,model_type,b_0_est,b_w_est,b_b_est,cov_b_w,cov_b_b,var_u0_est,var_e_est
23,3_lmer_naive,-0.355164947,0.535922994,0.410560348,0,0,1.060730371,0.797551909
23,4_blimp_lmc_noaux,-0.3622,0.5362,0.4066,0,1,1.0918,0.7983
23,5_blimp_omc_aux,0.1406,0.4528,0.6679,0,1,1.3401,1.0429
23,6_blimp_rescue,0.1949,0.4147,0.5498,1,1,1.3685,1.0129
24,1_lmer_complete,0.075555844,0.403902838,0.500584793,1,1,1.166019677,0.952900769
24,2_blimp_complete,0.0589,0.4041,0.5081,1,1,1.2032,0.9531
24,3_lmer_naive,-0.429199416,0.538533131,0.363448256,0,0,0.958695242,0.737783693
24,4_blimp_lmc_noaux,-0.4423,0.5385,0.3789,0,1,0.988,0.7383
24,5_blimp_omc_aux,0.0261,0.4459,0.6069,0,1,1.1436,0.9702
24,6_blimp_rescue,0.0549,0.4118,0.5105,1,1,1.1668,0.9439
25,1_lmer_complete,-0.162043531,0.388433201,0.668416437,1,1,0.784316322,1.018164959
25,2_blimp_complete,-0.1769,0.3885,0.6755,1,1,0.805,1.0185
25,3_lmer_naive,-0.696945282,0.528787264,0.435129067,0,0,0.631141671,0.766388963
25,4_blimp_lmc_noaux,-0.7101,0.5285,0.4354,0,0,0.6522,0.7669
25,5_blimp_omc_aux,-0.2442,0.4319,0.653,1,1,0.7439,1.007
25,6_blimp_rescue,-0.2186,0.3927,0.6218,1,1,0.7602,0.9717
26,1_lmer_complete,0.158063967,0.393519189,0.54279005,1,1,1.052592479,0.998309974
26,2_blimp_complete,0.1427,0.3937,0.5316,1,1,1.0837,0.9985
26,3_lmer_naive,-0.324300731,0.526861317,0.411672161,0,0,0.858206469,0.829419287
26,4_blimp_lmc_noaux,-0.3335,0.5271,0.4106,0,0,0.8811,0.83
26,5_blimp_omc_aux,0.189,0.4415,0.6931,1,1,1.1132,1.0829
26,6_blimp_rescue,0.2271,0.4041,0.6229,1,1,1.155,1.0516
27,1_lmer_complete,-0.023973849,0.406011737,0.619581657,1,1,0.904586693,1.004955151
27,2_blimp_complete,-0.0397,0.4061,0.624,1,1,0.9325,1.0052
27,3_lmer_naive,-0.574404133,0.537226161,0.434974623,0,0,0.721634573,0.757277411
27,4_blimp_lmc_noaux,-0.5856,0.5373,0.4269,0,0,0.7449,0.7577
27,5_blimp_omc_aux,-0.0537,0.4412,0.6318,1,1,0.8993,1.029
27,6_blimp_rescue,-0.025,0.4039,0.5856,1,1,0.9224,1.0002
28,1_lmer_complete,-0.03750996,0.379188863,0.5375113,1,1,0.939596701,1.010603593
28,2_blimp_complete,-0.0522,0.3793,0.5361,1,1,0.9675,1.011
28,3_lmer_naive,-0.597932378,0.509862284,0.331315285,0,0,0.736627075,0.776856976
28,4_blimp_lmc_noaux,-0.6067,0.5102,0.3092,0,0,0.7504,0.7779
28,5_blimp_omc_aux,-0.042,0.4024,0.5822,1,1,0.9742,1.0393
